id,departamento,municipio,year,hombres_rural,hombres_urbano,mujeres_rural,mujeres_urbano
548,"14- L A    U N I O N","05- Conchagua",2008,149,147,283,244
549,"14- L A    U N I O N","06- El Carmen",2008,26,46,114,124
550,"14- L A    U N I O N","07- El Sauce",2008,23,14,49,60
551,"14- L A    U N I O N","08- Intipucá",2008,62,47,25,34
552,"14- L A    U N I O N","09- Lislique",2008,3,11,145,147
553,"14- L A    U N I O N","10- Meanguera del Golfo",2008,18,20,5,9
554,"14- L A    U N I O N","11- Nueva Esparta",2008,30,26,105,93
555,"14- L A    U N I O N","12- Pasaquina",2008,65,61,185,182
556,"14- L A    U N I O N","13- Polorós",2008,44,35,77,75
557,"14- L A    U N I O N","14- San Alejo",2008,92,90,142,103
558,"14- L A    U N I O N","15- San José",2008,10,16,15,17
559,"14- L A    U N I O N","16- Santa Rosa de Lima",2008,217,210,75,91
560,"14- L A    U N I O N","17- Yayantique",2008,10,6,35,38
561,"14- L A    U N I O N","18- Yucuaiquín",2008,28,30,44,40
600,"01 - A H U A C H A P A N","01- Ahuachapán",2009,280,259,739,711
601,"01 - A H U A C H A P A N","02- Apaneca",2009,54,34,46,36
602,"01 - A H U A C H A P A N","03- Atiquizaya",2009,83,84,169,162
603,"01 - A H U A C H A P A N","04- Concepción de Ataco",2009,63,62,68,57
604,"01 - A H U A C H A P A N","05- El Refugio",2009,82,84,1,2
605,"01 - A H U A C H A P A N","06- Guaymango",2009,40,36,169,160
606,"01 - A H U A C H A P A N","07- Jujutla",2009,79,64,170,166
607,"01 - A H U A C H A P A N","08- San Francisco Menéndez",2009,250,212,286,275
608,"01 - A H U A C H A P A N","09- San Lorenzo",2009,16,27,79,64
609,"01 - A H U A C H A P A N","10- San Pedro Puxtla",2009,30,29,48,55
610,"01 - A H U A C H A P A N","11- Tacuba",2009,100,115,316,259
611,"01 - A H U A C H A P A N","12- Turín",2009,46,40,58,52
612,"02 - S A N T A     A N A","01- Santa Ana",2009,1726,1498,593,509
613,"02 - S A N T A     A N A","02- Candelaria de la Frontera",2009,102,66,152,133
614,"02 - S A N T A     A N A","03- Coatepeque",2009,103,103,178,183
615,"02 - S A N T A     A N A","04- Chalchuapa",2009,497,408,240,233
616,"02 - S A N T A     A N A","05- El Congo",2009,155,150,107,108
